pickup_date,trip_count,average_fare,average_tip,average_distance
2009-01-01,1,24.0,2.98,4.47
2025-03-31,4,13.5,3.0275,2.3275
2025-04-01,102561,19.086909644016732,3.746903013816168,3.363615799377931
2025-04-02,109434,18.361426887439002,3.655972001388965,3.0578322093682035
2025-04-03,110435,19.157754968986282,3.8220184724045816,3.240247656992801
2025-04-04,106572,18.808443118267462,3.647519798821454,3.2200387531434145
2025-04-05,111435,17.634188540404722,3.352200296136761,2.9293503836317134
2025-04-06,86497,19.842259269107597,3.747705585164803,3.7901137611709075
2025-04-07,94180,19.535409322573795,3.7930078572945423,3.5942293480569125
2025-04-08,105520,18.266590219863534,3.639527577710387,3.0631032979529946
2025-04-09,109288,18.65698283434595,3.735071005050875,3.129440743723007
2025-04-10,115632,18.77508786495088,3.7345498650892486,3.137338885429639
2025-04-11,110747,18.13349282599077,3.537752535057383,3.0608020984767084
2025-04-12,102433,17.069291439282264,3.239340251676706,2.911995645934416
2025-04-13,79737,19.4008069026926,3.588486649861419,3.714744347040897
2025-04-14,81691,19.439871711694067,3.6617312800675714,3.616445875310622
2025-04-15,99309,18.884670372272403,3.623928546254619,3.300378716934014
2025-04-16,110015,18.603880743534972,3.5878226605462893,3.946195609689588
2025-04-17,108027,19.511237005563423,3.743175502420691,3.646151147398336
2025-04-18,97064,18.738795949064535,3.552510096431221,4.06115810187093
2025-04-19,97366,18.120569911468067,3.3145563132921145,4.2496275907400936
2025-04-20,80193,20.059173868043345,3.635668699263028,3.965480777623982
2025-04-21,88081,20.235142652785505,3.8333692850898604,6.633057640126701
2025-04-22,101755,19.683108053658295,3.792499041816127,5.515714608618741
2025-04-23,109734,19.237990595439882,3.760341370951574,6.053021852844151
2025-04-24,116828,19.899319683637486,3.85678185024138,4.935240353339953
2025-04-25,112237,19.25085007617809,3.7007197270062457,5.7070888387964755
2025-04-26,114493,18.128076825657462,3.4110161319906016,4.332177513035732
2025-04-27,93932,20.377671294127666,3.8145082612954053,3.822733147383213
2025-04-28,88860,20.641403218546028,3.8991697051541747,6.979426288543777
2025-04-29,102144,19.498548715538845,3.810088208803258,4.257227835213033
2025-04-30,110579,19.765657132005174,3.860644697456117,4.094199260257373
2025-05-01,118746,20.157191821198186,3.9300821080289023,4.231137806747174
2025-05-02,110055,19.286029530689202,3.705993548680205,3.8173227931488802
2025-05-03,110469,17.87184277942228,3.330364989273009,4.275207252713431
2025-05-04,89672,20.81898251405121,3.852095748951735,4.454779529842091
2025-05-05,96332,20.660658452020098,3.9198264335838555,4.559880205954408
2025-05-06,106011,19.858953033175805,3.906436690532115,3.3449965569610702
2025-05-07,112616,20.10638284080415,3.9321043191020815,5.1131654471833485
2025-05-08,121221,20.183821615066698,3.972414928106516,5.038676879418582
2025-05-09,112065,19.922561995270602,3.8435486547985547,5.407665283540802
2025-05-10,108684,18.776086176438113,3.5033540355526114,4.228307662581429
2025-05-11,94416,20.477066492967293,3.803215874428063,3.8355809396712424
2025-05-12,95662,20.975582467437434,4.058268277895089,6.231548995421379
2025-05-13,111960,19.906712933190427,3.913194176491604,5.691199535548411
2025-05-14,110219,20.829141708779794,4.0721588836770435,3.2576536713270854
2025-05-15,119999,20.76542012850107,4.073944366203052,3.5247877065642212
2025-05-16,111491,21.20524948202097,4.005648258603833,3.5701976841180003
2025-05-17,110490,19.708039189066884,3.645397592542311,3.4061384740700515
2025-05-18,88880,22.83686791179118,4.198850135013501,4.216896714671467
2025-05-19,97319,21.063523464071764,4.03930065043825,3.79695105786126
2025-05-20,108008,20.052629249685207,3.9094696689134136,3.402418246796534
2025-05-21,116629,20.038657795231032,3.9588777233792625,3.266720112493462
2025-05-22,111449,20.726671392296026,4.004583172572207,3.4026711769508924
2025-05-23,94757,20.48385491309349,3.836941756281858,4.0966853108477475
2025-05-24,80211,18.92581167171585,3.3950178903142962,4.829522509381507
2025-05-25,70727,20.561310956211916,3.5760394191751383,4.532829471064798
2025-05-26,63843,23.115417978478455,4.133389251758219,4.751398117256395
2025-05-27,94636,20.499724734773235,3.87018407371402,3.659973688659707
2025-05-28,109672,20.050615106864104,3.837565012035889,3.1997979429571815
2025-05-29,109808,20.060333673320706,3.8486785115838553,3.3193475885181405
2025-05-30,103968,19.55435951446599,3.7222911857494614,3.3487000807940905
2025-05-31,100632,18.704297937037918,3.471555270689244,3.273735193576596
2025-06-01,84852,21.66461061613162,3.9873907509546034,4.154132018102107
2025-06-02,87693,20.750470162954855,4.018109655274651,3.863234921829564
2025-06-03,104234,19.52197190935779,3.864108544237005,3.469475315156283
2025-06-04,113561,19.855481987654212,3.9007542201988357,3.270749729220419
2025-06-05,117608,20.008383273246718,3.9361326610434664,3.341577273654853
2025-06-06,99711,20.167007150665423,3.836444524676314,3.5101796190991967
2025-06-07,97268,19.603889871283464,3.6019032981042067,3.4577180573261503
2025-06-08,83131,22.672742659176482,4.102072872935487,4.2854940996740085
2025-06-09,94534,20.504120316499883,3.9679303742568814,3.7456853618803816
2025-06-10,103586,20.02182988048578,3.907146429054119,3.3766812117467615
2025-06-11,110100,22.64427883742053,3.8455017257039055,3.247651680290645
2025-06-12,116110,20.046299199035396,3.9233419171475323,3.363008009646025
2025-06-13,100704,19.59426000953289,3.722719554337464,3.399970904829997
2025-06-14,90110,18.526799467317723,3.429458328709355,3.2608334258128955
2025-06-15,78122,20.422886510842016,3.7300728347968564,3.9504921788996694
2025-06-16,88329,20.46927747398929,3.856568737334284,3.739221207078083
2025-06-17,98861,19.423064909317123,3.7402105987194143,3.227129403910541
2025-06-18,108790,19.497976468425406,3.806721573674051,3.243873793547201
2025-06-19,98583,19.20784323869227,3.7320585699359934,3.3467247902782424
2025-06-20,96093,20.245772012529528,3.7264772668144404,3.5636151436629095
2025-06-21,92394,19.19250579041929,3.457535662488906,3.38059971426716
2025-06-22,79518,21.82778113131618,3.9923817248924776,4.20576045675193
2025-06-23,93899,20.867364508674214,3.9405682701626215,3.7855101758272185
2025-06-24,105447,19.135774749400174,3.7465812208977023,3.254748831166368
2025-06-25,109099,19.317195024702336,3.7602892785451743,3.13143383532388
2025-06-26,106976,20.595909549805565,3.9569845572838767,3.4051791990726894
2025-06-27,96648,20.535005690754076,3.8633315743729826,3.6463055624534393
2025-06-28,92068,19.417399530781594,3.5670664074379803,3.4007149063735502
2025-06-29,79261,21.47608596913993,3.8459628316574355,3.968063864952499
2025-06-30,82407,19.457440144647908,3.5412270802237678,3.5164476318759332
