pickup_hour,trip_count,average_fare,average_tip
0,241558,20.973595078614657,3.913416198180147
1,154664,19.22794393006776,3.5146303600062074
2,99517,17.15349035843122,3.137743702081052
3,62604,17.667858283815733,3.097833045811769
4,41732,23.869041982171954,3.8872047829004117
5,50922,28.336843407564512,4.2868082557637175
6,115391,23.048196653118527,3.61579802584257
7,232486,19.617161592526,3.4876038127027007
8,321517,18.343296653054114,3.3970415250204504
9,380731,18.49966724537797,3.4551630941530895
10,428467,19.03239075588085,3.5059689310962106
11,461906,19.487890263386923,3.585411317454201
12,503279,19.898959821490664,3.653428098529841
13,522916,20.40440003748212,3.7578179669392404
14,560883,21.897925966734597,3.89977900916947
15,579269,21.28670893833435,3.8787861252716787
16,599271,21.213236448952145,4.1411339777830065
17,646011,19.912933169868623,3.9818280029287427
18,664078,18.399117091666945,3.7876672017443735
19,583384,18.380088895135962,3.798402664454287
20,530472,18.772066084543575,3.788306658975403
21,540536,18.948696349549333,3.857072572409608
22,483137,19.596890943976554,3.915783328538282
23,352397,20.886044092316336,4.003436181352281
